"mardi   ";"21";"février  ";"2006";"lci-monde-2006-02-20.html                         "
"mercredi";"18";"janvier  ";"2006";"lci-monde-2006-01-17.html                         "
"jeudi   ";"17";"novembre ";"2005";"lci-monde-2005-11-16.html                         "
"vendredi";"29";"avril    ";"2005";"lci-monde-2005-04-27.html                         "
"mercredi";"29";"juin     ";"2005";"lci-monde-2005-06-28.html                         "
"mercredi";"26";"octobre  ";"2005";"lci-monde-2005-10-25.html                         "
"lundi   ";"11";"avril    ";"2005";"lci-monde-2005-04-10.html                         "
"mardi   ";"14";"février  ";"2006";"lci-monde-2006-02-13.html                         "
"mardi   ";"7 ";"février  ";"2006";"lci-monde-2006-02-06.html                         "
"mercredi";"16";"novembre ";"2005";"lci-monde-2005-11-15.html                         "
"samedi  ";"9 ";"juillet  ";"2005";"lci-monde-2005-07-08.html                         "
"mardi   ";"5 ";"juillet  ";"2005";"lci-monde-2005-07-04.html                         "
"vendredi";"16";"septembre";"2005";"lci-monde-2005-09-15.html                         "
"vendredi";"3 ";"juin     ";"2005";"lci-monde-2005-06-02.html                         "
"lundi   ";"6 ";"février  ";"2006";"lci-monde-2006-02-05.html                         "
"dimanche";"18";"septembre";"2005";"lci-monde-2005-09-17.html                         "
"dimanche";"22";"janvier  ";"2006";"lci-monde-2006-01-21.html                         "
"lundi   ";"25";"juillet  ";"2005";"lci-monde-2005-07-24.html                         "
"mardi   ";"3 ";"janvier  ";"2006";"lci-monde-2006-01-01.html                         "
"samedi  ";"31";"décembre ";"2005";"lci-monde-2005-12-30.html                         "
"dimanche";"14";"août     ";"2005";"lci-monde-2005-08-13.html                         "
"jeudi   ";"10";"mars     ";"2005";"lci-monde-2005-03-08.html                         "
"samedi  ";"18";"février  ";"2006";"lci-monde-2006-02-17.html                         "
"vendredi";"5 ";"août     ";"2005";"lci-monde-2005-08-04.html                         "
"mercredi";"8 ";"juin     ";"2005";"lci-monde-2005-06-07.html                         "
"mardi   ";"12";"avril    ";"2005";"lci-monde-2005-04-11.html                         "
"jeudi   ";"1 ";"septembre";"2005";"lci-monde-2005-08-31.html                         "
"vendredi";"8 ";"juillet  ";"2005";"lci-monde-2005-07-07.html                         "
"mercredi";"22";"juin     ";"2005";"lci-monde-2005-06-21.html                         "
"dimanche";"4 ";"septembre";"2005";"lci-monde-2005-09-03.html                         "
"jeudi   ";"3 ";"novembre ";"2005";"lci-monde-2005-11-02.html                         "
"mardi   ";"11";"octobre  ";"2005";"lci-monde-2005-10-10.html                         "
"mercredi";"14";"septembre";"2005";"lci-monde-2005-09-13.html                         "
"mercredi";"31";"août     ";"2005";"lci-monde-2005-08-30.html                         "
"mercredi";"20";"avril    ";"2005";"lci-monde-2005-04-18.html                         "
"lundi   ";"30";"janvier  ";"2006";"lci-monde-2006-01-29.html                         "
"samedi  ";"26";"novembre ";"2005";"lci-monde-2005-11-25.html                         "
"jeudi   ";"10";"novembre ";"2005";"lci-monde-2005-11-09.html                         "
"lundi   ";"3 ";"octobre  ";"2005";"lci-monde-2005-10-02.html                         "
"jeudi   ";"23";"février  ";"2006";"lci-monde-2006-02-22.html                         "
"jeudi   ";"8 ";"décembre ";"2005";"lci-monde-2005-12-07.html                         "
"jeudi   ";"18";"août     ";"2005";"lci-monde-2005-08-17.html                         "
"mardi   ";"31";"janvier  ";"2006";"lci-monde-2006-01-30.html                         "
"mercredi";"16";"mars     ";"2005";"lci-monde-2005-03-15.html                         "
"mardi   ";"31";"mai      ";"2005";"lci-monde-2005-05-30.html                         "
"mardi   ";"27";"septembre";"2005";"lci-monde-2005-09-26.html                         "
"dimanche";"11";"décembre ";"2005";"lci-monde-2005-12-08.html                         "
"mercredi";"4 ";"janvier  ";"2006";"lci-monde-2006-01-03.html                         "
"lundi   ";"18";"juillet  ";"2005";"lci-monde-2005-07-17.html                         "
"samedi  ";"17";"décembre ";"2005";"lci-monde-2005-12-15.html                         "
"dimanche";"27";"novembre ";"2005";"lci-monde-2005-11-26.html                         "
"jeudi   ";"13";"octobre  ";"2005";"lci-monde-2005-10-12.html                         "
"lundi   ";"11";"juillet  ";"2005";"lci-monde-2005-07-10.html                         "
"samedi  ";"5 ";"novembre ";"2005";"lci-monde-2005-11-04.html                         "
"dimanche";"22";"mai      ";"2005";"lci-monde-2005-05-21.html                         "
"samedi  ";"21";"janvier  ";"2006";"lci-monde-2006-01-20.html                         "
"dimanche";"20";"novembre ";"2005";"lci-monde-2005-11-19.html                         "
"mardi   ";"28";"juin     ";"2005";"lci-monde-2005-06-27.html                         "
"dimanche";"13";"novembre ";"2005";"lci-monde-2005-11-11.html                         "
"mercredi";"20";"juillet  ";"2005";"lci-monde-2005-07-19.html                         "
"mardi   ";"14";"juin     ";"2005";"lci-monde-2005-06-13.html                         "
"vendredi";"15";"avril    ";"2005";"lci-monde-2005-04-14.html                         "
"vendredi";"15";"avril    ";"2005";"lci-monde-2005-04-15.html                         "
"mardi   ";"28";"février  ";"2006";"lci-monde-2006-02-27.html                         "
"dimanche";"9 ";"octobre  ";"2005";"lci-monde-2005-10-08.html                         "
"mercredi";"8 ";"février  ";"2006";"lci-monde-2006-02-07.html                         "
"jeudi   ";"11";"août     ";"2005";"lci-monde-2005-08-10.html                         "
"mardi   ";"20";"décembre ";"2005";"lci-monde-2005-12-18.html                         "
"vendredi";"25";"novembre ";"2005";"lci-monde-2005-11-24.html                         "
"vendredi";"30";"décembre ";"2005";"lci-monde-2005-12-29.html                         "
"mercredi";"25";"janvier  ";"2006";"lci-monde-2006-01-24.html                         "
"dimanche";"15";"janvier  ";"2006";"lci-monde-2006-01-14.html                         "
"vendredi";"21";"octobre  ";"2005";"lci-monde-2005-10-20.html                         "
"jeudi   ";"28";"juillet  ";"2005";"lci-monde-2005-07-27.html                         "
"dimanche";"12";"février  ";"2006";"lci-monde-2006-02-10.html                         "
"jeudi   ";"26";"janvier  ";"2006";"lci-monde-2006-01-25.html                         "
"dimanche";"6 ";"novembre ";"2005";"lci-monde-2005-11-05.html                         "
"samedi  ";"23";"juillet  ";"2005";"lci-monde-2005-07-22.html                         "
"vendredi";"24";"juin     ";"2005";"lci-monde-2005-06-23.html                         "
"lundi   ";"28";"février  ";"2005";"lci-monde-2005-02-27.html                         "
"dimanche";"18";"décembre ";"2005";"lci-monde-2005-12-17.html                         "
"vendredi";"30";"septembre";"2005";"lci-monde-2005-09-29.html                         "
"vendredi";"13";"janvier  ";"2006";"lci-monde-2006-01-12.html                         "
"dimanche";"3 ";"juillet  ";"2005";"lci-monde-2005-07-02.html                         "
"vendredi";"17";"février  ";"2006";"lci-monde-2006-02-16.html                         "
"mercredi";"28";"décembre ";"2005";"lci-monde-2005-12-27.html                         "
"lundi   ";"16";"mai      ";"2005";"lci-monde-2005-05-15.html                         "
"dimanche";"28";"août     ";"2005";"lci-monde-2005-08-27.html                         "
"samedi  ";"13";"août     ";"2005";"lci-monde-2005-08-11.html                         "
"vendredi";"25";"mars     ";"2005";"lci-monde-2005-03-24.html                         "
"samedi  ";"16";"juillet  ";"2005";"lci-monde-2005-07-15.html                         "
"lundi   ";"24";"octobre  ";"2005";"lci-monde-2005-10-23.html                         "
"lundi   ";"4 ";"juillet  ";"2005";"lci-monde-2005-07-03.html                         "
"dimanche";"10";"avril    ";"2005";"lci-monde-2005-04-09.html                         "
"vendredi";"2 ";"septembre";"2005";"lci-monde-2005-09-01.html                         "
"mardi   ";"3 ";"mai      ";"2005";"lci-monde-2005-04-30.html                         "
"vendredi";"27";"mai      ";"2005";"lci-monde-2005-05-26.html                         "
"vendredi";"23";"septembre";"2005";"lci-monde-2005-09-22.html                         "
"dimanche";"19";"février  ";"2006";"lci-monde-2006-02-18.html                         "
"samedi  ";"19";"mars     ";"2005";"lci-monde-2005-03-18.html                         "
"dimanche";"12";"juin     ";"2005";"lci-monde-2005-06-10.html                         "
"dimanche";"29";"mai      ";"2005";"lci-monde-2005-05-28.html                         "
"vendredi";"20";"janvier  ";"2006";"lci-monde-2006-01-19.html                         "
"jeudi   ";"19";"janvier  ";"2006";"lci-monde-2006-01-18.html                         "
"mardi   ";"4 ";"octobre  ";"2005";"lci-monde-2005-10-03.html                         "
"mercredi";"27";"avril    ";"2005";"lci-monde-2005-04-26.html                         "
"mardi   ";"12";"juillet  ";"2005";"lci-monde-2005-07-11.html                         "
"jeudi   ";"22";"décembre ";"2005";"lci-monde-2005-12-21.html                         "
"samedi  ";"9 ";"avril    ";"2005";"lci-monde-2005-04-08.html                         "
"jeudi   ";"1 ";"décembre ";"2005";"lci-monde-2005-11-29.html                         "
"jeudi   ";"4 ";"août     ";"2005";"lci-monde-2005-08-03.html                         "
"mercredi";"24";"août     ";"2005";"lci-monde-2005-08-23.html                         "
"dimanche";"26";"février  ";"2006";"lci-monde-2006-02-25.html                         "
"dimanche";"16";"octobre  ";"2005";"lci-monde-2005-10-14.html                         "
"mercredi";"17";"août     ";"2005";"lci-monde-2005-08-16.html                         "
"vendredi";"1 ";"avril    ";"2005";"lci-monde-2005-03-31.html                         "
"jeudi   ";"19";"mai      ";"2005";"lci-monde-2005-05-18.html                         "
"lundi   ";"16";"janvier  ";"2006";"lci-monde-2006-01-15.html                         "
"mercredi";"6 ";"juillet  ";"2005";"lci-monde-2005-07-05.html                         "
"jeudi   ";"15";"décembre ";"2005";"lci-monde-2005-12-14.html                         "
"vendredi";"9 ";"septembre";"2005";"lci-monde-2005-09-08.html                         "
"mercredi";"10";"août     ";"2005";"lci-monde-2005-08-08.html                         "
"jeudi   ";"15";"septembre";"2005";"lci-monde-2005-09-14.html                         "
"vendredi";"20";"mai      ";"2005";"lci-monde-2005-05-19.html                         "
"samedi  ";"17";"septembre";"2005";"lci-monde-2005-09-16.html                         "
"mercredi";"21";"septembre";"2005";"lci-monde-2005-09-20.html                         "
"vendredi";"10";"juin     ";"2005";"lci-monde-2005-06-09.html                         "
"mercredi";"13";"avril    ";"2005";"lci-monde-2005-04-12.html                         "
"jeudi   ";"22";"septembre";"2005";"lci-monde-2005-09-21.html                         "
"mercredi";"15";"juin     ";"2005";"lci-monde-2005-06-14.html                         "
"mardi   ";"25";"octobre  ";"2005";"lci-monde-2005-10-24.html                         "
"lundi   ";"21";"novembre ";"2005";"lci-monde-2005-11-20.html                         "
"dimanche";"27";"mars     ";"2005";"lci-monde-2005-03-26.html                         "
"vendredi";"11";"novembre ";"2005";"lci-monde-2005-11-10.html                         "
"jeudi   ";"31";"mars     ";"2005";"lci-monde-2005-03-30.html                         "
"mardi   ";"17";"janvier  ";"2006";"lci-monde-2006-01-16.html                         "
"mercredi";"9 ";"novembre ";"2005";"lci-monde-2005-11-08.html                         "
"lundi   ";"28";"novembre ";"2005";"lci-monde-2005-11-27.html                         "
"dimanche";"30";"octobre  ";"2005";"lci-monde-2005-10-29.html                         "
"jeudi   ";"12";"mai      ";"2005";"lci-monde-2005-05-11.html                         "
"mercredi";"23";"mars     ";"2005";"lci-monde-2005-03-22.html                         "
"mercredi";"23";"novembre ";"2005";"lci-monde-2005-11-22.html                         "
"mardi   ";"19";"juillet  ";"2005";"lci-monde-2005-07-18.html                         "
"mardi   ";"29";"mars     ";"2005";"lci-monde-2005-03-28.html                         "
"samedi  ";"23";"avril    ";"2005";"lci-monde-2005-04-22.html                         "
"lundi   ";"6 ";"juin     ";"2005";"lci-monde-2005-06-04.html                         "
"samedi  ";"29";"octobre  ";"2005";"lci-monde-2005-10-28.html                         "
"lundi   ";"31";"octobre  ";"2005";"lci-monde-2005-10-30.html                         "
"mercredi";"5 ";"octobre  ";"2005";"lci-monde-2005-10-04.html                         "
"mercredi";"30";"mars     ";"2005";"lci-monde-2005-03-29.html                         "
"mardi   ";"10";"mai      ";"2005";"lci-monde-2005-05-09.html                         "
"vendredi";"11";"mars     ";"2005";"lci-monde-2005-03-10.html                         "
"samedi  ";"4 ";"juin     ";"2005";"lci-monde-2005-06-03.html                         "
"lundi   ";"9 ";"janvier  ";"2006";"lci-monde-2006-01-08.html                         "
"vendredi";"23";"décembre ";"2005";"lci-monde-2005-12-22.html                         "
"vendredi";"18";"novembre ";"2005";"lci-monde-2005-11-17.html                         "
"lundi   ";"23";"mai      ";"2005";"lci-monde-2005-05-22.html                         "
"samedi  ";"28";"janvier  ";"2006";"lci-monde-2006-01-27.html                         "
"jeudi   ";"2 ";"juin     ";"2005";"lci-monde-2005-05-31.html                         "
"mardi   ";"26";"juillet  ";"2005";"lci-monde-2005-07-25.html                         "
"jeudi   ";"2 ";"mars     ";"2006";"lci-monde-2006-03-01.html                         "
"mardi   ";"1 ";"mars     ";"2005";"lci-monde-2005-02-28.html                         "
"mardi   ";"21";"juin     ";"2005";"lci-monde-2005-06-20.html                         "
"dimanche";"25";"septembre";"2005";"lci-monde-2005-09-23.html                         "
"mardi   ";"23";"août     ";"2005";"lci-monde-2005-08-22.html                         "
"vendredi";"15";"juillet  ";"2005";"lci-monde-2005-07-14.html                         "
"vendredi";"2 ";"décembre ";"2005";"lci-monde-2005-12-01.html                         "
"jeudi   ";"5 ";"janvier  ";"2006";"lci-monde-2006-01-04.html                         "
"samedi  ";"28";"mai      ";"2005";"lci-monde-2005-05-27.html                         "
"samedi  ";"8 ";"octobre  ";"2005";"lci-monde-2005-10-07.html                         "
"dimanche";"23";"octobre  ";"2005";"lci-monde-2005-10-22.html                         "
"samedi  ";"19";"novembre ";"2005";"lci-monde-2005-11-18.html                         "
"dimanche";"21";"août     ";"2005";"lci-monde-2005-08-20.html                         "
"mardi   ";"15";"novembre ";"2005";"lci-monde-2005-11-13.html                         "
"dimanche";"2 ";"octobre  ";"2005";"lci-monde-2005-10-01.html                         "
"jeudi   ";"26";"mai      ";"2005";"lci-monde-2005-05-25.html                         "
"samedi  ";"2 ";"avril    ";"2005";"lci-monde-2005-04-01.html                         "
"jeudi   ";"21";"juillet  ";"2005";"lci-monde-2005-07-20.html                         "
"jeudi   ";"14";"juillet  ";"2005";"lci-monde-2005-07-13.html                         "
"mardi   ";"13";"septembre";"2005";"lci-monde-2005-09-12.html                         "
"jeudi   ";"20";"octobre  ";"2005";"lci-monde-2005-10-19.html                         "
"samedi  ";"3 ";"décembre ";"2005";"lci-monde-2005-12-02.html                         "
"dimanche";"26";"juin     ";"2005";"lci-monde-2005-06-25.html                         "
"lundi   ";"28";"mars     ";"2005";"lci-monde-2005-03-27.html                         "
"lundi   ";"7 ";"novembre ";"2005";"lci-monde-2005-11-06.html                         "
"dimanche";"5 ";"février  ";"2006";"lci-monde-2006-02-04.html                         "
"jeudi   ";"21";"avril    ";"2005";"lci-monde-2005-04-20.html                         "
"vendredi";"10";"février  ";"2006";"lci-monde-2006-02-09.html                         "
"lundi   ";"22";"août     ";"2005";"lci-monde-2005-08-21.html                         "
"jeudi   ";"29";"décembre ";"2005";"lci-monde-2005-12-28.html                         "
"mardi   ";"7 ";"juin     ";"2005";"lci-monde-2005-06-06.html                         "
"jeudi   ";"16";"février  ";"2006";"lci-monde-2006-02-15.html                         "
"dimanche";"3 ";"avril    ";"2005";"lci-monde-2005-04-02.html                         "
"samedi  ";"18";"juin     ";"2005";"lci-monde-2005-06-17.html                         "
"lundi   ";"27";"juin     ";"2005";"lci-monde-2005-06-26.html                         "
"mardi   ";"6 ";"septembre";"2005";"lci-monde-2005-09-05.html                         "
"dimanche";"15";"mai      ";"2005";"lci-monde-2005-05-14.html                         "
"jeudi   ";"3 ";"mars     ";"2005";"lci-monde-2005-03-01.html                         "
"lundi   ";"14";"mars     ";"2005";"lci-monde-2005-03-13.html                         "
"mardi   ";"24";"mai      ";"2005";"lci-monde-2005-05-23.html                         "
"mardi   ";"22";"novembre ";"2005";"lci-monde-2005-11-21.html                         "
"samedi  ";"10";"septembre";"2005";"lci-monde-2005-09-09.html                         "
"mardi   ";"24";"janvier  ";"2006";"lci-monde-2006-01-23.html                         "
"jeudi   ";"6 ";"octobre  ";"2005";"lci-monde-2005-10-05.html                         "
"dimanche";"24";"juillet  ";"2005";"lci-monde-2005-07-23.html                         "
"jeudi   ";"25";"août     ";"2005";"lci-monde-2005-08-24.html                         "
"mercredi";"13";"juillet  ";"2005";"lci-monde-2005-07-12.html                         "
"mardi   ";"29";"novembre ";"2005";"lci-monde-2005-11-28.html                         "
"vendredi";"4 ";"mars     ";"2005";"lci-monde-2005-03-03.html                         "
"samedi  ";"14";"mai      ";"2005";"lci-monde-2005-05-12.html                         "
"mardi   ";"17";"mai      ";"2005";"lci-monde-2005-05-16.html                         "
"mercredi";"18";"mai      ";"2005";"lci-monde-2005-05-17.html                         "
"lundi   ";"4 ";"avril    ";"2005";"lci-monde-2005-04-03.html                         "
"dimanche";"13";"mars     ";"2005";"lci-monde-2005-03-11.html                         "
"vendredi";"22";"avril    ";"2005";"lci-monde-2005-04-21.html                         "
"lundi   ";"10";"octobre  ";"2005";"lci-monde-2005-10-09.html                         "
"samedi  ";"7 ";"mai      ";"2005";"lci-monde-2005-05-06.html                         "
"vendredi";"22";"juillet  ";"2005";"lci-monde-2005-07-21.html                         "
"samedi  ";"3 ";"septembre";"2005";"lci-monde-2005-09-02.html                         "
"samedi  ";"22";"octobre  ";"2005";"lci-monde-2005-10-21.html                         "
"lundi   ";"30";"mai      ";"2005";"lci-monde-2005-05-29.html                         "
"mercredi";"1 ";"février  ";"2006";"lci-monde-2006-01-31.html                         "
"mardi   ";"13";"décembre ";"2005";"lci-monde-2005-12-12.html                         "
"lundi   ";"5 ";"décembre ";"2005";"lci-monde-2005-12-04.html                         "
"mardi   ";"16";"août     ";"2005";"lci-monde-2005-08-15.html                         "
"lundi   ";"13";"février  ";"2006";"lci-monde-2006-02-12.html                         "
"mercredi";"3 ";"août     ";"2005";"lci-monde-2005-08-02.html                         "
"vendredi";"7 ";"octobre  ";"2005";"lci-monde-2005-10-06.html                         "
"jeudi   ";"12";"janvier  ";"2006";"lci-monde-2006-01-09.html                         "
"lundi   ";"5 ";"septembre";"2005";"lci-monde-2005-09-04.html                         "
"vendredi";"14";"octobre  ";"2005";"lci-monde-2005-10-13.html                         "
"dimanche";"7 ";"août     ";"2005";"lci-monde-2005-08-06.html                         "
"samedi  ";"21";"mai      ";"2005";"lci-monde-2005-05-20.html                         "
"lundi   ";"12";"septembre";"2005";"lci-monde-2005-09-11.html                         "
"mardi   ";"22";"mars     ";"2005";"lci-monde-2005-03-21.html                         "
"mercredi";"14";"décembre ";"2005";"lci-monde-2005-12-13.html                         "
"jeudi   ";"24";"mars     ";"2005";"lci-monde-2005-03-23.html                         "
"dimanche";"1 ";"janvier  ";"2006";"lci-monde-2005-12-31.html                         "
"samedi  ";"24";"décembre ";"2005";"lci-monde-2005-12-23.html                         "
"samedi  ";"2 ";"juillet  ";"2005";"lci-monde-2005-06-29.html                         "
"lundi   ";"15";"août     ";"2005";"lci-monde-2005-08-14.html                         "
"jeudi   ";"9 ";"juin     ";"2005";"lci-monde-2005-06-08.html                         "
"mercredi";"15";"février  ";"2006";"lci-monde-2006-02-14.html                         "
"jeudi   ";"2 ";"février  ";"2006";"lci-monde-2006-02-01.html                         "
"dimanche";"8 ";"janvier  ";"2006";"lci-monde-2006-01-06.html                         "
"samedi  ";"20";"août     ";"2005";"lci-monde-2005-08-19.html                         "
"lundi   ";"23";"janvier  ";"2006";"lci-monde-2006-01-22.html                         "
"jeudi   ";"8 ";"septembre";"2005";"lci-monde-2005-09-07.html                         "
"lundi   ";"29";"août     ";"2005";"lci-monde-2005-08-28.html                         "
"lundi   ";"20";"juin     ";"2005";"lci-monde-2005-06-18.html                         "
"mardi   ";"30";"août     ";"2005";"lci-monde-2005-08-29.html                         "
"vendredi";"28";"octobre  ";"2005";"lci-monde-2005-10-27.html                         "
"vendredi";"27";"janvier  ";"2006";"lci-monde-2006-01-26.html                         "
"jeudi   ";"7 ";"juillet  ";"2005";"lci-monde-2005-07-06.html                         "
"lundi   ";"19";"septembre";"2005";"lci-monde-2005-09-18.html                         "
"vendredi";"6 ";"mai      ";"2005";"lci-monde-2005-05-04.html                         "
"lundi   ";"21";"mars     ";"2005";"lci-monde-2005-03-19.html                         "
"dimanche";"29";"janvier  ";"2006";"lci-monde-2006-01-28.html                         "
"vendredi";"3 ";"février  ";"2006";"lci-monde-2006-02-02.html                         "
"jeudi   ";"24";"novembre ";"2005";"lci-monde-2005-11-23.html                         "
"vendredi";"8 ";"avril    ";"2005";"lci-monde-2005-04-06.html                         "
"samedi  ";"25";"février  ";"2006";"lci-monde-2006-02-24.html                         "
"jeudi   ";"9 ";"février  ";"2006";"lci-monde-2006-02-08.html                         "
"lundi   ";"12";"décembre ";"2005";"lci-monde-2005-12-11.html                         "
"lundi   ";"18";"avril    ";"2005";"lci-monde-2005-04-17.html                         "
"mercredi";"6 ";"avril    ";"2005";"lci-monde-2005-04-04.html                         "
"mercredi";"19";"octobre  ";"2005";"lci-monde-2005-10-17.html                         "
"lundi   ";"26";"décembre ";"2005";"lci-monde-2005-12-24.html                         "
"dimanche";"27";"février  ";"2005";"lci-monde-2005-02-25.html                         "
"dimanche";"11";"septembre";"2005";"lci-monde-2005-09-10.html                         "
"jeudi   ";"16";"juin     ";"2005";"lci-monde-2005-06-15.html                         "
"samedi  ";"6 ";"août     ";"2005";"lci-monde-2005-08-05.html                         "
"samedi  ";"25";"juin     ";"2005";"lci-monde-2005-06-24.html                         "
"lundi   ";"8 ";"août     ";"2005";"lci-monde-2005-08-07.html                         "
"jeudi   ";"23";"juin     ";"2005";"lci-monde-2005-06-22.html                         "
"mardi   ";"26";"avril    ";"2005";"lci-monde-2005-04-23.html                         "
"mercredi";"4 ";"mai      ";"2005";"lci-monde-2005-05-03.html                         "
"samedi  ";"4 ";"février  ";"2006";"lci-monde-2006-02-03.html                         "
"vendredi";"18";"mars     ";"2005";"lci-monde-2005-03-16.html                         "
"dimanche";"4 ";"décembre ";"2005";"lci-monde-2005-12-03.html                         "
"mardi   ";"20";"septembre";"2005";"lci-monde-2005-09-19.html                         "
"mercredi";"7 ";"septembre";"2005";"lci-monde-2005-09-06.html                         "
"mercredi";"21";"décembre ";"2005";"lci-monde-2005-12-20.html                         "
"mardi   ";"2 ";"août     ";"2005";"lci-monde-2005-08-01.html                         "
"jeudi   ";"29";"septembre";"2005";"lci-monde-2005-09-28.html                         "
"mardi   ";"8 ";"mars     ";"2005";"lci-monde-2005-03-05.html                         "
"lundi   ";"17";"octobre  ";"2005";"lci-monde-2005-10-16.html                         "
"lundi   ";"13";"juin     ";"2005";"lci-monde-2005-06-12.html                         "
"samedi  ";"14";"janvier  ";"2006";"lci-monde-2006-01-13.html                         "
"samedi  ";"30";"avril    ";"2005";"lci-monde-2005-04-29.html                         "
"mardi   ";"27";"décembre ";"2005";"lci-monde-2005-12-26.html                         "
"vendredi";"26";"août     ";"2005";"lci-monde-2005-08-25.html                         "
"vendredi";"26";"août     ";"2005";"lci-monde-2005-08-26.html                         "
"mercredi";"27";"juillet  ";"2005";"lci-monde-2005-07-26.html                         "
"lundi   ";"27";"février  ";"2006";"lci-monde-2006-02-26.html                         "
"lundi   ";"26";"septembre";"2005";"lci-monde-2005-09-25.html                         "
"vendredi";"4 ";"novembre ";"2005";"lci-monde-2005-11-03.html                         "
"lundi   ";"9 ";"mai      ";"2005";"lci-monde-2005-05-07.html                         "
"mercredi";"7 ";"décembre ";"2005";"lci-monde-2005-12-06.html                         "
"dimanche";"17";"avril    ";"2005";"lci-monde-2005-04-16.html                         "
"mercredi";"2 ";"novembre ";"2005";"lci-monde-2005-11-01.html                         "
"vendredi";"29";"juillet  ";"2005";"lci-monde-2005-07-28.html                         "
"mercredi";"25";"mai      ";"2005";"lci-monde-2005-05-24.html                         "
"mercredi";"22";"février  ";"2006";"lci-monde-2006-02-21.html                         "
"lundi   ";"20";"février  ";"2006";"lci-monde-2006-02-19.html                         "
"vendredi";"6 ";"janvier  ";"2006";"lci-monde-2006-01-05.html                         "
"vendredi";"17";"juin     ";"2005";"lci-monde-2005-06-16.html                         "
"vendredi";"24";"février  ";"2006";"lci-monde-2006-02-23.html                         "
"jeudi   ";"14";"avril    ";"2005";"lci-monde-2005-04-13.html                         "
"vendredi";"19";"août     ";"2005";"lci-monde-2005-08-18.html                         "
"mercredi";"12";"octobre  ";"2005";"lci-monde-2005-10-11.html                         "
"mercredi";"11";"mai      ";"2005";"lci-monde-2005-05-10.html                         "
"samedi  ";"26";"mars     ";"2005";"lci-monde-2005-03-25.html                         "
"dimanche";"31";"juillet  ";"2005";"lci-monde-2005-07-30.html                         "
"mercredi";"28";"septembre";"2005";"lci-monde-2005-09-27.html                         "
"mardi   ";"6 ";"décembre ";"2005";"lci-monde-2005-12-05.html                         "
"dimanche";"10";"juillet  ";"2005";"lci-monde-2005-07-09.html                         "
"lundi   ";"1 ";"août     ";"2005";"lci-monde-2005-07-31.html                         "
"mercredi";"1 ";"mars     ";"2006";"lci-monde-2006-02-28.html                         "
"samedi  ";"5 ";"mars     ";"2005";"lci-monde-2005-03-04.html                         "
"dimanche";"17";"juillet  ";"2005";"lci-monde-2005-07-16.html                         "
"samedi  ";"30";"juillet  ";"2005";"lci-monde-2005-07-29.html                         "
"jeudi   ";"27";"octobre  ";"2005";"lci-monde-2005-10-26.html                         "
"mardi   ";"15";"mars     ";"2005";"lci-monde-2005-03-14.html                         "
"mardi   ";"1 ";"novembre ";"2005";"lci-monde-2005-10-31.html                         "
"mardi   ";"8 ";"novembre ";"2005";"lci-monde-2005-11-07.html                         "
"samedi  ";"1 ";"octobre  ";"2005";"lci-monde-2005-09-30.html                         "
